//neuronas,capas,epocas,lr,momentum, acc
//poblacion0
1001,10,1011010,1011,10,99.9947
1001,10,1011010,1011,10001,99.9933
1001,10,1011010,1011,1110,99.992
1001,10,1011010,1011,1011,99.9913
1001,10,1011010,1011,101,99.99
1001,10,1011010,1011,1,99.988
1001,10,1011010,1000,10100,99.986
10010,100,1011010,1011,10100,99.984
10010,100,1100100,10100,10100,99.9827
10010,100,1101110,1110,10100,99.982
10010,100,1011010,10,10001,99.9813
10010,100,1101110,10,10001,99.9807
1001,10,1011010,10001,10100,99.98
